"","LocalityCode","LocalityName","Region.x","Treatment","Mean","Median","MAD","productivity","Field_median","mean_of_mean","mean_of_median","median_of_mean","median_of_median"
"1","1BBB","steinkjer_1BBb","Trondelag","Open plot",0.105052757969716,0.0649999976158142,0.0830256025627255,0.115979123017114,0.25,0.39359120841319,0.375,0.351608187134503,0.25
"2","1BBUB","steinkjer_1BBb","Trondelag","Exclosure",0.15554822394258,0.0944999977946281,0.125279703965597,0.115979123017114,0.375,0.49828125,0.4375,0.4765625,0.375
"3","1CAB","Nome_Cappelen1","Telemark","Open plot",0.212220429511045,0.104000002145767,0.122314504860342,0.0804412833108973,0.5,0.595720720720721,0.583333333333333,0.625,0.75
"4","1CAUB","Nome_Cappelen1","Telemark","Exclosure",0.299851009619276,0.0879999995231628,0.103782000441849,0.0804412833108973,0.25,0.675189393939394,0.25,0.662878787878788,0.25
"5","1DRB","Drangedal1","Telemark","Open plot",0.724767388548418,0.36599999666214,0.437366991604865,0.211316769544198,0.75,1.01119791666667,0.75,1.0390625,0.75
"6","1DRUB","Drangedal1","Telemark","Exclosure",0.89349748748536,0.766999989748001,0.9822224856399,0.211316769544198,1.375,1.36182359307359,1.4375,1.35757575757576,1.375
"7","1FRB","Fritsoe1","Telemark","Open plot",0.86256351190303,0.28999999165535,0.355823986523598,0.245537882619449,0.625,0.870833333333333,0.625,0.991666666666667,0.625
"8","1FRUB","Fritsoe1","Telemark","Exclosure",1.4471953509213,1.48949998617172,0.797638781619072,0.245537882619449,0.875,1.1019633764199,0.9375,1.14414414414414,0.875
"9","1FYB","Furesdal","Telemark","Open plot",0.256416666238159,0.159999996423721,0.131210100795329,0.0580350472734916,0.25,0.443742740998839,0.25,0.446428571428571,0.25
"10","1FYUB","Furesdal","Telemark","Exclosure",0.765572700937602,0.221000000834465,0.226837795758247,0.0580350472734916,0.25,0.735714285714286,0.3125,0.646428571428571,0.25
"11","1KB","namdalseid_1kub","Trondelag","Open plot",0.129218140280598,0.00400000018998981,0.035582399618905,0.222676728012514,0.25,0.353741216512956,0.25,0.345108695652174,0.25
"12","1KUB","namdalseid_1kub","Trondelag","Exclosure",0.244896724315768,0.0900000035762787,0.127503605020512,0.222676728012514,0.25,0.454047619047619,0.375,0.441428571428571,0.25
"13","1KVB","Kviteseid1","Telemark","Open plot",1.1901827429254,0.341499999165535,0.421058399977908,0.105926078491013,0.5,0.577478448275862,0.5,0.579956896551724,0.5
"14","1KVUB","Kviteseid1","Telemark","Exclosure",1.69761136832054,1.83849996328354,1.58415825058222,0.105926078491013,1.75,1.54861111111111,1.75,1.59722222222222,1.75
"15","1NSB","Nsb_Verdal","Trondelag","Open plot",0.0569086417820259,0.0240000002086163,0.0459606006296352,0.11046364755872,0.75,0.906344722639789,0.875,0.742884250474383,0.75
"16","1NSUB","Nsb_Verdal","Trondelag","Exclosure",0.13729629590475,0.0920000001788139,0.0889559980116785,0.11046364755872,0.75,1,0.916666666666667,0.75,0.75
"17","1SB","Sub_Namdalseid","Trondelag","Open plot",0.186951220505757,0.123500000685453,0.0896972995139658,0.0774373445233693,0.25,0.29389880952381,0.25,0.296130952380952,0.25
"18","1SUB","Sub_Namdalseid","Trondelag","Exclosure",0.152450494683465,0.0989999994635582,0.106747202308662,0.0774373445233693,0.25,0.297569444444444,0.25,0.295138888888889,0.25
"19","1VBB","verdal_1vb","Trondelag","Open plot",0.216583332660819,0.104999996721745,0.0770951960675418,0.0119389206250207,0.25,0.286111111111111,0.25,0.272222222222222,0.25
"20","1VBUB","verdal_1vb","Trondelag","Exclosure",0.266489106051446,0.108000002801418,0.0785777935490012,0.0119389206250207,0.625,0.680555555555556,0.5625,0.75,0.625
"21","2BBB","steinkjer_2BBb","Trondelag","Open plot",0.291672679005472,0.0740000009536743,0.103782001132239,0.0870407514943544,0.25,0.540760869565217,0.25,0.5625,0.25
"22","2BBUB","steinkjer_2BBb","Trondelag","Exclosure",0.540061009660257,0.0780000016093254,0.112677602245146,0.0870407514943544,0.375,0.542534722222222,0.4375,0.604166666666667,0.375
"23","2CAB","Nome_Cappelen2","Telemark","Open plot",0.380803571209461,0.104000002145767,0.123797105103359,0.166542736794977,0.5,0.723721590909091,0.5,0.640625,0.5
"24","2CAUB","Nome_Cappelen2","Telemark","Exclosure",0.765922461321981,0.20099999755621,0.27576360515859,0.166542736794977,1.375,1.44317234848485,1.4375,1.34270833333333,1.375
"25","2FRB","Fritsoe2","Telemark","Open plot",0.854038740012436,0.296000003814697,0.37361520600915,0.148195815507045,0.75,0.97188995215311,0.8125,0.772727272727273,0.75
"26","2FRUB","Fritsoe2","Telemark","Exclosure",1.47146511385675,1.56299996376038,1.02299408483505,0.148195815507045,2,1.8816856452726,1.875,1.91071428571429,2
"27","2KVB","Kviteseid2","Telemark","Open plot",0.956211164489714,0.77250000834465,0.787260637910664,0.106407375541559,0.625,0.839480803694513,0.6875,0.829861111111111,0.625
"28","2KVUB","Kviteseid2","Telemark","Exclosure",1.50583744001359,1.22949999570847,1.51151070335805,0.106407375541559,0.875,1.21995192307692,1.0625,1.09375,0.875
"29","2VBB","verdal_2VB","Trondelag","Open plot",0.567233490816676,0.33950001001358,0.387699912460148,0.24111518527678,0.75,1.18099376114082,1.0625,0.958578431372549,0.75
"30","2VBUB","verdal_2VB","Trondelag","Exclosure",1.6071785787697,1.68550002574921,1.59157115514278,0.24111518527678,2,2.08343253968254,2.0625,1.95436507936508,2
"31","3DRB","Drangedal3","Telemark","Open plot",0.0915438149867882,0.0469999983906746,0.0518909974593669,0.0193532385870393,0.25,0.270833333333333,0.25,0.25,0.25
"32","3DRUB","Drangedal3","Telemark","Exclosure",0.261183675780075,0.0549999997019768,0.0593040000552311,0.0193532385870393,0.5,0.597301136363636,0.5,0.5625,0.5
"33","3KVB","Kviteseid3","Telemark","Open plot",0.802549872254414,0.284999996423721,0.256489789572358,0.0912505780029237,0.25,0.456605162855163,0.3125,0.409043659043659,0.25
"34","3KVUB","Kviteseid3","Telemark","Exclosure",0.989695650640541,0.944000005722046,1.05486991687864,0.0912505780029237,1.125,1.13338068181818,1.1875,1.18863636363636,1.125
"35","3NOB","Notodden3","Telemark","Open plot",0.888706699265361,0.554000020027161,0.710165358996391,0.14243035474986,0.75,1.14502164502165,1.08333333333333,1.02272727272727,0.75
"36","3NOUB","Notodden3","Telemark","Exclosure",1.12241627908268,1.16299998760223,1.31803139787912,0.14243035474986,1,1.31222587719298,1.0625,1.33333333333333,1
"37","4DRB","Drangedal4","Telemark","Open plot",0.949242132564795,0.828999996185303,0.375097831106186,0.205027981060011,0.75,0.733103754397079,0.625,0.61169623059867,0.75
"38","4DRUB","Drangedal4","Telemark","Exclosure",2.34772389858373,2.41199994087219,0.834703746271133,0.205027981060011,1.75,1.78137254901961,1.875,1.60686274509804,1.75
"39","5NOB","Notodden5","Telemark","Open plot",0.406247421944893,0.218999996781349,0.223872589749098,0.119776917028699,0.5,0.553246420863214,0.5,0.541964818127609,0.5
"40","5NOUB","Notodden5","Telemark","Exclosure",0.643162291463096,0.25,0.323206797746569,0.119776917028699,0.25,0.391970903618055,0.25,0.35909061675992,0.25
"41","6NOB","Notodden6","Telemark","Open plot",0.664381176672657,0.230000004172325,0.234250810781121,0.106105682858758,1,1.13169642857143,1.125,1.20089285714286,1
"42","6NOUB","Notodden6","Telemark","Exclosure",1.03620902460949,0.745000004768372,0.984446406716108,0.106105682858758,1.5,1.36790986790987,1.5,1.45804195804196,1.5
"43","BRB","Bratsberg","Trondelag","Open plot",0.427393586708792,0.158999994397163,0.0963689964652061,0.196448579540101,0.25,0.305774781922018,0.25,0.308121374386435,0.25
"44","BRUB","Bratsberg","Trondelag","Exclosure",2.13904225370522,2.30850005149841,1.03040707776546,0.196448579540101,1.25,1.38250736531987,1.3125,1.37670454545455,1.25
"45","DHB","Didrik Holmsen","Hedmark","Open plot",0.649048275698576,0.233999997377396,0.18235979399085,0.234215068001819,NA,NA,NA,NA,NA
"46","DHUB","Didrik Holmsen","Hedmark","Exclosure",1.37802746100245,1.37800002098083,1.20980157737732,0.234215068001819,NA,NA,NA,NA,NA
"47","FKB","Fet 3","Hedmark","Open plot",0.563066667074273,0.537000000476837,0.198668404948711,0.140119204478322,0.75,0.632556935817805,0.625,0.665113871635611,0.75
"48","FKUB","Fet 3","Hedmark","Exclosure",1.24319727871305,1.09300005435944,0.681996056556702,0.140119204478322,0.875,1.37089646464646,1.0625,1.27777777777778,0.875
"49","FLB","Selbu_Flub","Trondelag","Open plot",1.66651620670287,1.70199996232986,2.03857495581508,0.271341571962914,2.75,2.11170634920635,2.625,2.15,2.75
"50","FLUB","Selbu_Flub","Trondelag","Exclosure",1.40290329890915,1.33149999380112,1.84731964873597,0.271341571962914,1.5,1.73592261904762,1.625,1.58642857142857,1.5
"51","HIB","Hi_tydal","Trondelag","Open plot",0.558368909693206,0.231000006198883,0.157155609190464,0.214070788335689,0.75,0.805128205128205,0.875,0.733333333333333,0.75
"52","HIUB","Hi_tydal","Trondelag","Exclosure",1.88257870700262,1.99050003290176,1.00372009112835,0.214070788335689,1.25,1.37959330143541,1.25,1.37736842105263,1.25
"53","HPB","Halvard Pramhus","Hedmark","Open plot",0.58492129736179,0.253499999642372,0.209046598365158,0.335469416346708,0.875,1.20119047619048,1.0625,1.03571428571429,0.875
"54","HPUB","Halvard Pramhus","Hedmark","Exclosure",1.22550115056668,1.20000004768372,1.38771367281675,0.335469416346708,1.125,1.39237012987013,1.25,1.25974025974026,1.125
"55","KLB","Selbu_kl","Trondelag","Open plot",0.113526502119002,0.0379999987781048,0.0593039983292576,0.116040590906093,0.25,0.379572325081478,0.25,0.386862041467305,0.25
"56","KLUB","Selbu_kl","Trondelag","Exclosure",0.196003195316235,0.00849999999627471,0.0229803003148176,0.116040590906093,0.25,0.372813638733961,0.25,0.369974961747114,0.25
"57","LAB","Singsaas","Trondelag","Open plot",0.195805897931934,0.096000000834465,0.0756125985860824,0.042265252358123,0.25,0.427369090752243,0.25,0.420634920634921,0.25
"58","LAUB","Singsaas","Trondelag","Exclosure",0.215802325885256,0.100500002503395,0.0859908058103174,0.042265252358123,0.25,0.503435559006211,0.25,0.432142857142857,0.25
"59","MAB","Malvik","Trondelag","Open plot",0.413341902637828,0.0920000001788139,0.126020999944769,0.160287892381656,0.25,0.67266281512605,0.5,0.482230392156863,0.25
"60","MAUB","Malvik","Trondelag","Exclosure",1.40626146546202,1.36000001430511,1.70943779575825,0.160287892381656,0.75,1.21712662337662,1,1.05357142857143,0.75
"61","SDB","Stig Dahlen","Hedmark","Open plot",0.478016786027155,0.356000006198883,0.424023619794846,1,1,0.967693236714976,1,0.986111111111111,1
"62","SDUB","Stig Dahlen","Hedmark","Exclosure",2.86041246752123,2.94600009918213,0.962207648849487,1,1.875,1.91558427440469,1.9375,1.92296511627907,1.875
"63","SEB","Sl_Tydal","Trondelag","Open plot",0.286093677692901,0.0829999968409538,0.102299394675717,0.132712130856701,0.25,0.529626623376623,0.25,0.542207792207792,0.25
"64","SEUB","Sl_Tydal","Trondelag","Exclosure",0.828131509418472,0.257999986410141,0.379545579710836,0.132712130856701,0.75,0.858620036746658,0.75,0.833093732029902,0.75
"65","SLB","Selbu_Sl","Trondelag","Open plot",0.621776349386763,0.174999997019768,0.240181195183843,0.124288986480107,0.75,1.07252747252747,0.75,1.16428571428571,0.75
"66","SLUB","Selbu_Sl","Trondelag","Exclosure",1.04207021931917,0.48199999332428,0.693856789461896,0.124288986480107,1.625,1.70208333333333,1.6875,1.71666666666667,1.625
"67","SSAB","Stangeskovene Aurskog","Hedmark","Open plot",0.371960396300091,0.173499993979931,0.0934037904560566,0.114068354617472,NA,NA,NA,NA,NA
"68","SSAUB","Stangeskovene Aurskog","Hedmark","Exclosure",0.622237875330634,0.221000000834465,0.191255400972068,0.114068354617472,NA,NA,NA,NA,NA
"69","SSBB","Stangeskovene Eidskog","Hedmark","Open plot",0.207524706087459,0.104999996721745,0.0889560145810246,0.0904621044106202,0.25,0.407440476190476,0.375,0.414880952380952,0.25
"70","SSBUB","Stangeskovene Eidskog","Hedmark","Exclosure",1.01280825379422,0.608999997377396,0.808758298630267,0.0904621044106202,0.5,0.935994152046784,0.625,0.89421052631579,0.5
"71","STSKNB","Eidskog","Hedmark","Open plot",0.491529413281434,0.230000004172325,0.234250810781121,0.250270962957011,0.5,0.701488095238095,0.5,0.720833333333333,0.5
"72","STSKNUB","Eidskog","Hedmark","Exclosure",0.39879729651997,0.175999999046326,0.147518700706959,0.250270962957011,0.75,1.10714285714286,0.8125,1.21428571428571,0.75
"73","THB","Truls Holm","Hedmark","Open plot",0.445465000593686,0.165500000119209,0.212753100353479,0.29477737362203,0.75,0.830876161440186,0.75,0.80609756097561,0.75
"74","THUB","Truls Holm","Hedmark","Exclosure",1.30657109156774,1.33149999380112,1.28837931569517,0.29477737362203,0.75,1.10291364296081,0.875,1.05198113207547,0.75
